지하철역코드,지하철역명,시군구명,위도,경도
156,서초역,서초구,37.49168303406662,127.00777892568289
157,청계산입구역,서초구,37.44835494679063,127.05440573954033
158,내방역,서초구,37.48750721566179,126.99321371275778
159,양재(서초구청)역,서초구,37.4837609995189,127.03470409270159
159,양재(서초구청)역,강남구,37.48483005441413,127.03445228796363
160,반포역,서초구,37.50831097824673,127.01196102152761
161,신반포역,서초구,37.50362791061676,126.99648891745744
162,남부터미널(예술의전당)역,서초구,37.484749622986875,127.01627339714322
163,잠원역,서초구,37.512905604379725,127.01178638399094
164,양재시민의숲(매헌)역,서초구,37.46999328482595,127.03899963141606
165,방배역,서초구,37.48155477078008,126.9972400061135
166,사평역,서초구,37.504248137170435,127.01518725290568
167,교대(법원.검찰청)역,서초구,37.49279345737089,127.01411393329036
168,구반포역,서초구,37.501635855938616,126.98675906170132
169,강남역,서초구,37.49738476332233,127.02744813769549
169,강남역,강남구,37.497331374347056,127.02869318931945
170,고속터미널역,서초구,37.50483885125289,127.00386634886466
171,금호역,성동구,37.548062313967876,127.01586482801342
173,서울숲역,성동구,37.5431930448426,127.04459239755532
175,성수역,성동구,37.54480943658188,127.05533034760549
176,상왕십리역,성동구,37.56430005455948,127.02958686524622
178,답십리역,성동구,37.56674286034835,127.05252026699624
178,답십리역,동대문구,37.56744967362509,127.05234352726829
180,왕십리(성동구청)역,성동구,37.56129280207992,127.03724484828417
181,신금호역,성동구,37.5548075411513,127.0201658559206
182,한양대역,성동구,37.555770185758924,127.04326353089189
183,행당역,성동구,37.557138333540436,127.0292600230087
184,옥수역,성동구,37.5412147984679,127.01783563756655
185,장한평역,성동구,37.56129215804974,127.0643732470105
185,장한평역,동대문구,37.56175608746401,127.06437092436406
186,뚝섬역,성동구,37.547020554263966,127.04807085037945
187,돌곶이역,성북구,37.61103252710182,127.05700903613837
188,안암(고대병원앞)역,성북구,37.58645190525066,127.02870932118485
189,월곡(동덕여대)역,성북구,37.602205200978524,127.04158382144861
190,정릉역,성북구,37.602854160004746,127.0134115964473
191,석계역,성북구,37.614779715135974,127.06689072528204
191,석계역,노원구,37.61499698395809,127.0654686569299
192,북한산보국문역,성북구,37.612235900560634,127.00817593598475
193,길음역,성북구,37.60351795671336,127.02511808019659
194,성신여대입구(돈암)역,성북구,37.592481949520426,127.01655028030102
195,한성대입구(삼선교)역,성북구,37.58838136317347,127.00587126849757
196,상월곡(한국과학기술연구원)역,성북구,37.6058716207125,127.04781012738063
197,보문역,성북구,37.58510930994358,127.01931231375174
199,가락시장역,송파구,37.49262375265571,127.11845843437312
200,석촌역,송파구,37.505248586373185,127.10715206438636
201,종합운동장역,송파구,37.51125023009749,127.07528841397652
202,장지역,송파구,37.478660442676436,127.12614141888304
203,경찰병원역,송파구,37.49564322077213,127.12412156970288
204,올림픽공원(한국체대)역,송파구,37.5161821655637,127.13105950744885
205,잠실나루역,송파구,37.520867486643745,127.10350964749668
206,송파역,송파구,37.499504154508294,127.11274757857919
207,방이역,송파구,37.508737243471835,127.12610791321646
209,몽촌토성(평화의문)역,송파구,37.5176243275448,127.11218692416507
210,잠실(송파구청)역,송파구,37.51424340621623,127.10339984743409
211,문정역,송파구,37.48625939608584,127.12268435465137
212,한성백제역,송파구,37.51647638001374,127.11562804979107
213,거여역,송파구,37.49333445162444,127.14418749865008
214,송파나루역,송파구,37.5102861806687,127.11221710411675
215,석촌고분역,송파구,37.50247739929096,127.09696045413011
216,오금역,송파구,37.50218689254858,127.12788866659847
217,개롱역,송파구,37.498076391582494,127.13443907118028
218,잠실새내역,송파구,37.511632275938595,127.08620014290108
220,신목동역,양천구,37.54416662059385,126.88280274540342
222,목동역,양천구,37.525863779120336,126.86490383032003
223,염창역,양천구,37.54676614241754,126.87443732987782
223,염창역,강서구,37.54713772139846,126.87430989303354
224,양천구청역,양천구,37.51253877916507,126.86600720876027
225,신정네거리역,양천구,37.52023308228248,126.85268543265587
226,오목교(목동운동장앞)역,양천구,37.52513219151189,126.87488844440644
227,등촌역,양천구,37.550980134179746,126.86452524416731
228,영등포시장역,영등포구,37.522751329407896,126.90536292581659
229,여의나루역,영등포구,37.526661358992385,126.93268675142608
230,샛강역,영등포구,37.51735744393207,126.92888100039397
231,당산역,영등포구,37.534152057358625,126.90209054950819
232,영등포구청역,영등포구,37.52571822723635,126.89652807009404
233,신풍역,영등포구,37.50022128400627,126.90928106733418
236,국회의사당역,영등포구,37.52883954653318,126.91640577325325
237,여의도역,영등포구,37.5216215809446,126.92370972949809
238,영등포역,영등포구,37.51570214674419,126.90709777691302
239,대림(구로구청)역,구로구,37.49388446526298,126.89422997438946
239,대림(구로구청)역,영등포구,37.4930763604241,126.89651896174956
240,선유도역,영등포구,37.53787469366244,126.89366873088873
243,한강진역,용산구,37.54028507253922,127.00197865237232
244,이태원역,용산구,37.53460961173082,126.9940830495346
245,용산역,용산구,37.530262355240794,126.9642921209886
