기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20251,11500605,가양3동,1867782,879413,988368,145931,221882,471545,322450,247768,458206,586775,399927,198241,189228,250823,242787,272127,271822,270793,270765,268574,255683,258017
20251,11500604,가양2동,2113025,964253,1148772,181836,209924,378585,296039,267557,779085,528814,451788,251175,254783,352949,273516,302295,301268,301806,300918,300972,301305,304463
20251,11500603,가양1동,3111313,1541181,1570131,366666,500052,734813,553379,422031,534372,688589,673228,451239,440139,508521,349597,460789,465956,461860,469120,466207,400728,386654
20251,11500593,화곡8동,9669499,4536453,5133047,1855656,1256172,1579921,1732238,1322853,1922657,2617800,1982039,1104681,1119195,1583080,1262703,1374834,1371344,1371660,1367824,1368996,1408016,1406828
20251,11500591,화곡6동,5457855,2550616,2907239,584003,919425,1160610,923280,736435,1134101,1472703,1126515,620613,612882,890310,734831,766518,763410,768422,761668,768207,805560,824070
20251,11500590,화곡본동,8047396,3801023,4246373,1267848,1205245,1446996,1297702,1052728,1776875,2414040,1683761,823976,805319,1220415,1099884,1134805,1120702,1129839,1120348,1113073,1190365,1238261
20251,11500570,화곡4동,4730457,2180722,2549735,898555,570916,687512,755219,689528,1128727,1374860,972841,501982,491038,739041,650694,669391,663645,667519,664952,661896,694179,708875
20251,11500560,화곡3동,3838848,1737092,2101756,605722,523326,632646,614994,523284,938875,984557,774874,447751,452690,669680,509295,540378,538390,541371,537035,540903,565820,574950
20251,11500550,화곡2동,3365443,1542627,1822816,598665,434544,488118,574616,503260,766240,1016306,704402,348747,340896,505608,449483,473339,470803,471049,468105,463792,497837,520517
20251,11500540,화곡1동,16737330,7901985,8835344,1819014,2918907,3346735,2729855,2293827,3628990,4369071,3409431,1920201,1940958,2844383,2253284,2362736,2343568,2356706,2344235,2347973,2466496,2515618
20251,11500535,등촌3동,7140197,3337433,3802764,1037994,938485,1277419,1160180,971801,1754317,1845007,1493412,893646,866980,1149936,891213,1021017,1018692,1019153,1019886,1030295,1018136,1013018
20251,11500530,등촌2동,3594111,1675225,1918887,599639,458046,669400,576620,489555,800854,1043639,763658,384478,375913,542065,484360,509569,503725,509871,505287,502189,524366,539105
20251,11500520,등촌1동,5076482,2326125,2750358,521771,801473,1300679,864861,629544,958156,1443032,1067787,578629,551101,772365,663569,731052,723407,726890,724791,727364,716677,726302
20251,11500510,염창동,8380426,3917757,4462667,1783521,880188,1662933,1594073,1057143,1402569,2432693,1766363,879041,859568,1284483,1158278,1197374,1183066,1187822,1190045,1195151,1202376,1224593
20251,11470680,신정7동,3037920,1390030,1647889,800899,269251,304483,503537,454128,705622,875803,615775,317954,325216,491494,411676,431449,428072,426304,431594,431215,440227,449058
20251,11470670,신정6동,1948405,873582,1074823,562259,165991,203822,371528,271851,372954,515235,404478,224802,230387,325424,248078,278114,275763,276331,277853,279999,280472,279871
20251,11470650,신정4동,11161259,5298730,5862530,2014866,1550536,1684552,1822821,1653745,2434738,3059583,2319197,1265075,1255692,1801698,1460015,1583855,1580905,1583017,1583085,1586056,1624071,1620270
20251,11470640,신정3동,7236774,3373583,3863191,1520015,744991,968664,1148900,1136577,1717627,2297861,1546062,715824,649021,1000437,1027570,1033951,1026585,1033801,1024350,1022867,1026489,1068730
20251,11470630,신정2동,4523320,2101347,2421974,1271679,461631,447374,800249,686143,856243,1189620,914829,526519,532218,773046,587089,638592,632006,630800,636728,645991,669551,669653
20251,11470620,신정1동,3167301,1483194,1684107,796414,326558,361994,572897,470576,638863,771728,634010,385253,395138,568687,412486,450616,445734,444857,448818,454739,464591,457946
